"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @lizditz: by @tarahaelle http://t.co/0kINqK4rqU Doctors running for president don’t understand #vaccines. Talking to you @RealBenCarson …",FALSE,0,NA,2015-09-20 06:00:46,FALSE,NA,"645477683497992192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_DianneRowe",9,TRUE,FALSE,NA,NA
"2",".@RealBenCarson There IS link b/w vax &amp; autism. WILL U READ THESE STUDIES? #cdcwhistleblower http://t.co/gbUYrGHmEd https://t.co/jfiAMP7XLL",FALSE,0,NA,2015-09-20 05:59:25,FALSE,NA,"645477342945640448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AllWords789",0,FALSE,FALSE,NA,NA
"3","RT @FoxNews: .@RealBenCarson on race relations in this country at the #GOPDebate:
https://t.co/FJDpQW40jE",FALSE,0,NA,2015-09-20 05:59:08,FALSE,NA,"645477272149995521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SBouhamid",2197,TRUE,FALSE,NA,NA
"4","@RealBenCarson You are worth it. Blessings. Praying for your success!",FALSE,0,"RealBenCarson",2015-09-20 05:58:45,FALSE,"645339127601328128","645477175626350596","1180379185","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaralynDyck",0,FALSE,FALSE,NA,NA
"5","RT @exploretravel1: @RealBenCarson would you defend Americans from Patriot Act Dream Act or any other overreach of American Gov overreach?",FALSE,0,NA,2015-09-20 05:58:16,FALSE,NA,"645477053886779392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Danktzche",7,TRUE,FALSE,NA,NA
"6","RT @vicsepulveda: @RealBenCarson someone needs to take your license away http://t.co/4qv4cmgWyb",FALSE,0,NA,2015-09-20 05:57:23,FALSE,NA,"645476829097238528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kenfohh",1,TRUE,FALSE,NA,NA
"7","@xo_marissah yes, WE also very much love @realDonaldTrump @RealBenCarson @tedcruz",FALSE,0,"xo_marissah",2015-09-20 05:55:27,FALSE,"645473766739304448","645476345892356096","3299755448","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LMU_DG",0,FALSE,FALSE,NA,NA
"8","RT @becerra_erika: @Dolphin_Project DESTRUCTION of the pod GREED is destroying a pod @carolinekennedy yet you are silent @RealBenCarson @PO…",FALSE,0,NA,2015-09-20 05:50:24,FALSE,NA,"645475072598085632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","matissecockerpo",5,TRUE,FALSE,NA,NA
"9","RT @RealBenCarson: 650,000 Twitter followers. Thank you! #BC2DC16",FALSE,0,NA,2015-09-20 05:47:34,FALSE,NA,"645474361512603648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LanceHays",269,TRUE,FALSE,NA,NA
"10","RT @vaxcanharm: .@RealBenCarson There IS a link b/w vax and autism. Research and READ and SHARE THESE STUDIES! #cdcwhistleblower http://t.c…",FALSE,0,NA,2015-09-20 05:45:44,FALSE,NA,"645473897593348096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KeppyJlkep",15,TRUE,FALSE,NA,NA
