"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@realDonaldTrump You got your ass kicked in the last debate by @CarlyFiorina &amp; #Rubio  Better luck next time.",FALSE,0,"realDonaldTrump",2015-09-21 00:48:24,FALSE,"645756861224980480","645761458383380481","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mlhagood",0,FALSE,FALSE,NA,NA
"2","why is @CarlyFiorina whispering #GOP http://t.co/8b9II7O09j",FALSE,0,NA,2015-09-21 00:48:23,FALSE,NA,"645761455308996608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","187NewMedia",0,FALSE,FALSE,NA,NA
"3","RT @JazzShaw: Judging by tweets from NY Times and @JoyAnnReid liberals noticed @CarlyFiorina poll #s. No more compliments for capable woman…",FALSE,0,NA,2015-09-21 00:48:10,FALSE,NA,"645761399944257536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jamesbranch3",3,TRUE,FALSE,NA,NA
"4","@CarlyFiorina http://t.co/hWzUZzmGkH",FALSE,0,"CarlyFiorina",2015-09-21 00:47:57,FALSE,NA,"645761347548897280","65691824","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KreepyKimSofia",0,FALSE,FALSE,NA,NA
"5","RT @THETXEMBASSY: #NoThanksCarly <U+274E> #Carly2016 <ed><U+00A0><U+00BD><ed><U+00B2><U+0086>
@CarlyFiorina <U+2B05><ed><U+00A0><U+00BD><ed><U+00B8><U+00B2>don't you agree you've Mis-Led #WeThePeople @tedcruz @realDonaldTrump http:…",FALSE,0,NA,2015-09-21 00:47:55,FALSE,NA,"645761339181432836",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Cruzn4Ted",45,TRUE,FALSE,NA,NA
"6","RT @HEELZiggler: damn @CarlyFiorina just dropped her ""forever 21"" lip gloss, like it was a microphone!
#GOPDebate #CNNDebate",FALSE,0,NA,2015-09-21 00:47:54,FALSE,NA,"645761335838400512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","WWEFAN55627",102,TRUE,FALSE,NA,NA
"7","@realDonaldTrump @CarlyFiorina
Especially since she KEEPS pulling out gender card =&gt; her career, when she's running, when she walks the dog!",FALSE,0,"realDonaldTrump",2015-09-21 00:47:53,FALSE,"645756861224980480","645761331220627456","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SonsofReagan",0,FALSE,FALSE,NA,NA
"8","RT @HEELZiggler: @StephenCHines @CarlyFiorina how about understanding she just put trump in his place referring to her looks, how about und…",FALSE,0,NA,2015-09-21 00:47:52,FALSE,NA,"645761325457510400",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","WWEFAN55627",17,TRUE,FALSE,NA,NA
"9","RT @vancitydan: In world where CEO's go fr 1 huge salary to next, @CarlyFiorina has NEVER been offered another job aft HP tire fire https:/…",FALSE,0,NA,2015-09-21 00:47:51,FALSE,NA,"645761324098658304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RiskyLiberal",1,TRUE,FALSE,NA,NA
"10","@mitchellvii @minnamyself @CarlyFiorina Fun..But We need a way to stop Kerry and Obama from releasing 220,000 ""Refugees"" loose in America!!",FALSE,0,"mitchellvii",2015-09-21 00:47:45,FALSE,"645031417093693440","645761296894332928","17980523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HuskerPower811",0,FALSE,FALSE,NA,NA
