"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Retweeted Hillary Clinton (@HillaryClinton):

Senator Chuck Schumer: Hillary helped “restore the shattered... http://t.co/WFXXIj8rKD",FALSE,0,NA,2015-09-20 03:16:52,FALSE,NA,"645436436951404544",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jaihindpost",0,FALSE,FALSE,NA,NA
"2","Retweeted Hillary Clinton (@HillaryClinton):

Senator Chuck Schumer: Hillary helped “restore the shattered... http://t.co/6gSybxTsxF",FALSE,0,NA,2015-09-20 03:16:52,FALSE,NA,"645436436813115392",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jaihindpost",0,FALSE,FALSE,NA,NA
"3","RT @Asher_P_Fly: Sure hope the DEMS fire a BIDEN-MISSILE at the @HillaryClinton campaign and put her Presidential aspirations to bed once a…",FALSE,0,NA,2015-09-20 03:16:52,FALSE,NA,"645436435672096769",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jmac999",1,TRUE,FALSE,NA,NA
"4","RT @HillaryClinton: Senator Chuck Schumer: Hillary helped “restore the shattered credibility of the United States.” http://t.co/3LTkgRux1L",FALSE,0,NA,2015-09-20 03:16:48,FALSE,NA,"645436419310129152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaihindpost",322,TRUE,FALSE,NA,NA
"5","RT @FoxNews: .@RichardGrenell: @HillaryClinton has no place in the world where she can say we're better off after her tenure as Secretary o…",FALSE,0,NA,2015-09-20 03:16:46,FALSE,NA,"645436411328380928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lemon_robert",147,TRUE,FALSE,NA,NA
"6","#MoreDebates equals more votes. @TheDemocrats @DWStweets @HillaryClinton @MartinOMalley @BernieSanders",FALSE,0,NA,2015-09-20 03:16:46,FALSE,NA,"645436409185234944",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","drewpiddy",0,FALSE,FALSE,NA,NA
"7","#MakeAmericaGreatAgain 
VOTE: @HillaryClinton -or- @SenSanders

Sorry, Il Duce. @realDonaldTrump #Trump2016",FALSE,0,"realDonaldTrump",2015-09-20 03:16:42,FALSE,"645319298513305601","645436395209670657","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CheetahPizzas",0,FALSE,FALSE,NA,NA
"8","RT @HillaryClinton: Post-speech dance break at the New Hampshire Democratic Party State Convention. (via @ABCLiz) #603forHRC http://t.co/OT…",FALSE,0,NA,2015-09-20 03:16:41,FALSE,NA,"645436387513143296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArcticFox571",624,TRUE,FALSE,NA,NA
"9","@HillaryClinton @POTUS http://t.co/Gqc1E16A8y",FALSE,0,"HillaryClinton",2015-09-20 03:16:38,FALSE,"645424136689426432","645436378449211392","1339835893","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ghostseven77",0,FALSE,FALSE,NA,NA
"10","RT @KPhed: "" @POTUS deserves a lot more credit than he gets for helping us avoid an economic catastrophe."" - @HillaryClinton",FALSE,0,NA,2015-09-20 03:16:34,FALSE,NA,"645436360736706560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelakissesu",18,TRUE,FALSE,NA,NA
"11","RT @CNNPolitics: .@HillaryClinton fires up New Hampshire's Democratic faithful http://t.co/AkD0bgX9Zn via @danmericaCNN http://t.co/pKPOwYi…",FALSE,0,NA,2015-09-20 03:16:25,FALSE,NA,"645436321851248643",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sarakarnthi",14,TRUE,FALSE,NA,NA
"12","RT @UniPolitica: .@HillaryClinton se unió a la despedida de Don Francisco con este mensaje&gt;&gt; http://t.co/21hMvGvChu #SGHastaSiempre http://…",FALSE,0,NA,2015-09-20 03:16:14,FALSE,NA,"645436274938114049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carobernales23",86,TRUE,FALSE,NA,NA
"13","RT @HillaryClinton: .@POTUS is right: When we ensure black women and girls have the opportunity to live up to their God-given potential, Am…",FALSE,0,NA,2015-09-20 03:16:09,FALSE,NA,"645436254775980032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kashish0711",501,TRUE,FALSE,NA,NA
"14","RT @HillaryClinton: “If you want a president who will listen to you, work her heart out to make your life better—then you’re lookin’ at her…",FALSE,0,NA,2015-09-20 03:15:57,FALSE,NA,"645436206281527296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aspiring_ESQ",646,TRUE,FALSE,NA,NA
"15","@bombidil @Noneofy84387293 @HillaryClinton @billclinton @onecaliberal u can't even find 1 corp lobbying bernie. whole list lobbying hrc.",FALSE,0,"bombidil",2015-09-20 03:15:53,FALSE,"645435473285001216","645436188837416962","90501243","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0who0",0,FALSE,FALSE,NA,NA
"16","@HillaryClinton concert. I have house family job in Taiwan no reason to stay in USA if travel to USA. Can you help me ? I bought cruise Oct",FALSE,0,"HillaryClinton",2015-09-20 03:15:53,FALSE,NA,"645436185913876480","1339835893","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joychenjoy888",0,FALSE,FALSE,NA,NA
"17","RT @albertosardinas: Very cool message from @HillaryClinton to @DonFranciscoTV #SGHastaSiempre  https://t.co/3Nz5FkQDVa",FALSE,0,NA,2015-09-20 03:15:52,FALSE,NA,"645436184630571008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AJanetS",3,TRUE,FALSE,NA,NA
"18","@HillaryClinton #Hillary2016 https://t.co/OBizkmCFpp",FALSE,0,"HillaryClinton",2015-09-20 03:15:50,FALSE,"645378592537509888","645436174681702400","1339835893","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dougyfreshnyc",0,FALSE,FALSE,NA,NA
"19","Retweeted CNN (@CNN):

.@HillaryClinton: ""I was appalled"" by @realDonaldTrump allowing anti-Muslim rhetoric... http://t.co/IEHgSQ9cyY",FALSE,0,NA,2015-09-20 03:15:44,FALSE,NA,"645436148827881473",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","raygibbs1",1,FALSE,FALSE,NA,NA
"20","RT @HillaryClinton: Cutting off Americans from lifesaving health care at Planned Parenthood is wrong. #standwithPP http://t.co/XQbcLdzbUJ",FALSE,0,NA,2015-09-20 03:15:43,FALSE,NA,"645436148127506432",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CarmenDeLilium",2441,TRUE,FALSE,NA,NA
"21","RT @FoxNews: .@RichardGrenell: @HillaryClinton has no place in the world where she can say we're better off after her tenure as Secretary o…",FALSE,0,NA,2015-09-20 03:15:43,FALSE,NA,"645436145711472640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drtom03net",147,TRUE,FALSE,NA,NA
"22","RT @HillaryClinton: Senator Chuck Schumer: Hillary helped “restore the shattered credibility of the United States.” http://t.co/3LTkgRux1L",FALSE,0,NA,2015-09-20 03:15:41,FALSE,NA,"645436138149294080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","singhfromusa",322,TRUE,FALSE,NA,NA
"23","RT @CNN: .@HillaryClinton: ""I was appalled"" by @realDonaldTrump allowing anti-Muslim rhetoric http://t.co/cmsAsiSnux http://t.co/llenHAGsbC",FALSE,0,NA,2015-09-20 03:15:41,FALSE,NA,"645436137293676544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","raygibbs1",402,TRUE,FALSE,NA,NA
