"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @OCAmericans: Trump won by a landslide! @weeklystandard @marcorubio @CarlyFiorina @realDonaldTrump http://t.co/uuGmGzzGiC",FALSE,0,NA,2015-09-21 03:13:57,FALSE,NA,"645798087370276865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiAnnaHardesty1",11,TRUE,FALSE,NA,NA
"2","RT @jewelgirl8: @marcorubio Re: interview this morning. Thank you for focusing on our country's  future rather than  yesterday's news. You …",FALSE,0,NA,2015-09-21 03:13:48,FALSE,NA,"645798050003185665",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Txsleuth",3,TRUE,FALSE,NA,NA
"3","Replace ObamaCare w/this plan= gives $12,000 back to families

@SenJohnBarrasso @marcorubio

http://t.co/u2CfY6M8kr

https://t.co/Tl2js6nelg",FALSE,0,NA,2015-09-21 03:13:02,FALSE,NA,"645797859225264128",NA,"<a href=""http://patriotjournalist.com"" rel=""nofollow"">PatriotJournalist</a>","UnPoliticalPrty",0,FALSE,FALSE,NA,NA
"4","RT @marcorubio: Harder to get - Tom Brady’s texts or Hillary Clinton’s emails? https://t.co/gSa9uYBq6c",FALSE,0,NA,2015-09-21 03:12:28,FALSE,NA,"645797714471444480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Siecko_de_Mayo",192,TRUE,FALSE,NA,NA
"5","@marcorubio is a candidate that doesn't dodge questions; he tackles them. You have my support! #TeamMarco",FALSE,0,"marcorubio",2015-09-21 03:12:22,FALSE,NA,"645797690593419264","15745368","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cyrograde",0,FALSE,FALSE,NA,NA
"6","RT @EliteDaily: ""America is not a planet."" - @marcorubio 

Really? Fascinating. 

#GOPDebate #climatechange http://t.co/z1SjuD6QLY",FALSE,0,NA,2015-09-21 03:11:41,FALSE,NA,"645797520669458432",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","Garethjones1980",62,TRUE,FALSE,NA,NA
"7","@TrotAlex @KarelBecerra @Pontifex @marcorubio Its a perpetual lease, ""for the time required..."" no prisoners no lease, Cold War is over.",FALSE,0,"TrotAlex",2015-09-21 03:11:39,FALSE,"645792564625281025","645797512138358784","2321272902","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hermie412",0,FALSE,FALSE,NA,NA
"8","RT @RealCarlIcahn: @megynkelly @krauthammer @CarlyFiorina @marcorubio http://t.co/XgymivXWTI",FALSE,0,NA,2015-09-21 03:10:36,FALSE,NA,"645797246605221888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RMProducer",2,TRUE,FALSE,NA,NA
"9","RT @lnwilcoxson: Sorry mr ""gang of 8"" @marcorubio your immigration policies don't cut it",FALSE,0,NA,2015-09-21 03:10:17,FALSE,NA,"645797166909419520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Dodarey",2,TRUE,FALSE,NA,NA
"10","RT @jewelgirl8: @marcorubio Re: interview this morning. Thank you for focusing on our country's  future rather than  yesterday's news. You …",FALSE,0,NA,2015-09-21 03:10:12,FALSE,NA,"645797144251662336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janrichardson",3,TRUE,FALSE,NA,NA
