"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 04:00:53,FALSE,NA,"645447511528882176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Willow_1149",3861,TRUE,FALSE,NA,NA
"2","RT @Dplee1: @FoxBusiness @Mike_Beacham @realDonaldTrump very true. Political correctness is sickening.  Ordinary people r feed up with corr…",FALSE,0,NA,2015-09-20 04:00:51,FALSE,NA,"645447505505726464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","9975Ts",7,TRUE,FALSE,NA,NA
"3","RT @HardcoreRepub: This is not even funny. This is REALITY
@AdamBaldwin
@realDonaldTrump
@BreitbartNews
@_Ash_Bell__
@Augustine25 http://t.…",FALSE,0,NA,2015-09-20 04:00:51,FALSE,NA,"645447505077886976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bellajane127",25,TRUE,FALSE,NA,NA
"4","RT @larryelder: About Iraq War intel, Sen. Harry Reid called GWB a ""liar."" Where was the indignant @andersoncooper?

@realDonaldTrump 
#Don…",FALSE,0,NA,2015-09-20 04:00:51,FALSE,NA,"645447504008351744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","serr8d",2,TRUE,FALSE,NA,NA
"5",".@realDonaldTrump will win by a landslide in 2016, then put this country back on track &amp; #MakeAmericaGreatAgain  https://t.co/V78BUyJCoB",FALSE,0,NA,2015-09-20 04:00:51,FALSE,NA,"645447503379197952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WorldByTshirt",0,FALSE,FALSE,NA,NA
"6","RT @realDonaldTrump: A great night in Iowa! https://t.co/vfCRhwTkTU",FALSE,0,NA,2015-09-20 04:00:51,FALSE,NA,"645447502574059520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jtk1961",1017,TRUE,FALSE,NA,NA
"7","@realDonaldTrump I want to move to Canada now eh",FALSE,0,"realDonaldTrump",2015-09-20 04:00:48,FALSE,"645415231028641792","645447492100837376","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stay_fobulous",0,FALSE,FALSE,NA,NA
"8","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 04:00:47,FALSE,NA,"645447488074350592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Louieiqy",3860,TRUE,FALSE,NA,NA
"9","@PJStrikeForce @realDonaldTrump Thats why we LOVE Him : )",FALSE,0,"PJStrikeForce",2015-09-20 04:00:45,FALSE,"645043995274407936","645447480490852352","121656624","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WatergirlOne",0,FALSE,FALSE,NA,NA
"10","RT @realDonaldTrump: Christians need support in our country (and around the world), their religious liberty is at stake! Obama has been hor…",FALSE,0,NA,2015-09-20 04:00:44,FALSE,NA,"645447476066000898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cortneyj1991",7338,TRUE,FALSE,NA,NA
"11","RT @sb277bot: RT @gmawarrior Thank you! @realDonaldTrump @RealBenCarson @RandPaul #2many2soon ask #CDCwhistleblower 
http://t.co/43lVXWBnl4",FALSE,0,NA,2015-09-20 04:00:44,FALSE,NA,"645447475235414016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MelissaMAlsop",11,TRUE,FALSE,NA,NA
"12","RT @HouseCracka: Top-Ranking DEA Official Signals Support For Trump Border Wall 

http://t.co/bxhDjigHb6

#Trump2016 #yuge #buildthewall @r…",FALSE,0,NA,2015-09-20 04:00:44,FALSE,NA,"645447472890818560",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LFS7",2,TRUE,FALSE,NA,NA
"13","@realDonaldTrump http://t.co/IV2b0rA1cO",FALSE,0,"realDonaldTrump",2015-09-20 04:00:43,FALSE,NA,"645447471401840644","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dianaisnotag",0,FALSE,FALSE,NA,NA
"14","RT @ChristiChat: #WakeUpAmerica

@AnnCoulter speaks truth
to @seanhannity on
@realDonaldTrump

#NoAmnesty
#TCOT
#MakeAmericaGreatAgain http…",FALSE,0,NA,2015-09-20 04:00:43,FALSE,NA,"645447470957248512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BULLOMETER",4,TRUE,FALSE,NA,NA
"15","@FoxNewsSunday @realDonaldTrump Fox gives us all the info we need 2 come 2 the conclusion hes a Muslim..then backs off and calls us crazies",FALSE,0,"FoxNewsSunday",2015-09-20 04:00:42,FALSE,NA,"645447465261531136","18805644","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shawnchil",0,FALSE,FALSE,NA,NA
"16","Who's going to pay for my birth control? Who's going to pay for my STI testing? Is @realDonaldTrump ? Is @CarlyFiorina ? #PlannedParenthood",FALSE,0,"sadghostgrrrl_",2015-09-20 04:00:41,FALSE,"645446862888148992","645447463147597824","1107170887","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sadghostgrrrl_",0,FALSE,FALSE,NA,NA
"17","RT @adnradiochile: En EE.UU. emerge como figura republicana @CarlyFiorina tras enfrentar a @realDonaldTrump http://t.co/ZgLcVNBuv8 http://t…",FALSE,0,NA,2015-09-20 04:00:40,FALSE,NA,"645447459599163392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1silveira",3,TRUE,FALSE,NA,NA
"18","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 04:00:40,FALSE,NA,"645447456977723392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Carrol55145",3861,TRUE,FALSE,NA,NA
"19","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 04:00:40,FALSE,NA,"645447456092782592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Birdie_buco",3861,TRUE,FALSE,NA,NA
"20","@iRoboHamster @MSNBC @realDonaldTrump <U+25CF>started watching 2 c their take on Trump.<U+25CF>all I can do 2 sit thru it.<U+25CF>eye opening 2 say the least.",FALSE,0,"iRoboHamster",2015-09-20 04:00:39,FALSE,"645264414430621696","645447454809153536","42224411","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","TracyLeeKhan",0,FALSE,FALSE,NA,NA
